Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
01 14  01;UPPLANDS VÄSBY;ED;32.645;31.76;19.52;12.08;0.16;0.885
01 14  02;UPPLANDS VÄSBY;HAMMARBY;32.515;31.68;19.52;12.08;0.08;0.835
01 14  03;UPPLANDS VÄSBY;FRESTA;32.515;31.72;19.52;12.08;0.12;0.795
01 15  01;VALLENTUNA;VALLENTUNA;32.055;31.22;19.00;12.08;0.14;0.835
01 15  07;VALLENTUNA;ÖSSEBY;32.435;31.295;19.00;12.08;0.215;1.14
01 17  02;ÖSTERÅKER;ÖSTERÅKER-ÖSTRA RYD;31.115;30.38;18.17;12.08;0.13;0.735
01 17  03;ÖSTERÅKER;LJUSTERÖ-KULLA;31.555;30.50;18.17;12.08;0.25;1.055
01 20  01;VÄRMDÖ;VÄRMDÖ;32.965;32.10;19.88;12.08;0.14;0.865
01 20  03;VÄRMDÖ;DJURÖ, MÖJA OCH NÄMDÖ;33.325;32.16;19.88;12.08;0.20;1.165
01 20  06;VÄRMDÖ;GUSTAVSBERG-INGARÖ;32.855;32.08;19.88;12.08;0.12;0.775
01 23  04;JÄRFÄLLA;JÄRFÄLLA;32.085;31.40;19.15;12.08;0.17;0.685
01 25  01;EKERÖ;ADELSÖ-MUNSÖ;32.425;31.49;19.25;12.08;0.16;0.935
01 25  03;EKERÖ;EKERÖ;32.425;31.49;19.25;12.08;0.16;0.935
01 25  04;EKERÖ;LOVÖ;32.425;31.49;19.25;12.08;0.16;0.935
01 25  09;EKERÖ;FÄRINGSÖ;32.425;31.47;19.25;12.08;0.14;0.955
01 26  01;HUDDINGE;HUDDINGE;32.805;32.09;19.87;12.08;0.14;0.715
01 26  02;HUDDINGE;TRÅNGSUND;32.805;32.09;19.87;12.08;0.14;0.715
01 26  03;HUDDINGE;S:T MIKAEL;32.805;32.09;19.87;12.08;0.14;0.715
01 26  04;HUDDINGE;FLEMINGSBERG;32.805;32.09;19.87;12.08;0.14;0.715
01 27  01;BOTKYRKA;BOTKYRKA;33.355;32.42;20.15;12.08;0.19;0.935
