 Antal dgr;Tabellnr;Inkomst fr.o.m.;Inkomst t.o.m.;Kolumn 1;Kolumn 2;Kolumn 3;Kolumn 4;Kolumn 5;Kolumn 6
30B;29;1;1500;0;0;0;0;0;0
30B;29;1501;1600;108;0;108;0;108;9
30B;29;1601;1700;118;0;116;0;118;38
30B;29;1701;1800;127;0;125;0;127;67
30B;29;1801;1900;137;0;133;0;137;96
30B;29;1901;2000;146;0;141;0;146;125
30B;29;2001;2100;156;0;150;0;156;154
30B;29;2101;2200;157;0;150;0;183;183
30B;29;2201;2300;167;0;158;0;212;212
30B;29;2301;2400;176;0;166;0;241;241
30B;29;2401;2500;186;0;175;0;270;270
30B;29;2501;2600;195;0;183;0;299;299
30B;29;2601;2700;205;0;191;0;328;328
30B;29;2701;2800;214;0;200;0;357;357
30B;29;2801;2900;216;0;200;0;386;386
30B;29;2901;3000;225;0;208;0;415;415
30B;29;3001;3100;235;0;216;0;444;444
30B;29;3101;3200;244;0;225;0;473;473
30B;29;3201;3300;254;0;233;0;502;502
30B;29;3301;3400;263;0;241;0;531;531
30B;29;3401;3500;264;0;241;0;560;560
30B;29;3501;3600;274;0;250;0;589;589
30B;29;3601;3700;283;0;258;0;616;616
30B;29;3701;3800;293;0;266;0;640;640
30B;29;3801;3900;302;0;275;0;662;662
30B;29;3901;4000;311;0;283;0;686;686
30B;29;4001;4100;312;0;283;0;708;708
30B;29;4101;4200;322;21;292;0;732;732
30B;29;4201;4300;331;43;301;1;756;756
30B;29;4301;4400;340;65;311;2;778;778
30B;29;4401;4500;349;87;320;3;802;802
30B;29;4501;4600;359;108;329;4;824;824
30B;29;4601;4700;360;130;330;5;848;848
30B;29;4701;4800;369;152;339;6;872;872
30B;29;4801;4900;378;174;348;7;894;894
30B;29;4901;5000;388;195;358;8;918;918
30B;29;5001;5100;397;217;367;9;940;940
30B;29;5101;5200;406;239;376;9;964;964
30B;29;5201;5300;415;261;385;10;988;988
30B;29;5301;5400;420;282;386;11;1010;1010
30B;29;5401;5500;440;304;395;12;1034;1034
30B;29;5501;5600;459;326;405;13;1056;1056
30B;29;5601;5700;479;348;414;14;1080;1080
30B;29;5701;5800;499;369;423;15;1104;1104
30B;29;5801;5900;518;391;432;16;1126;1126
30B;29;5901;6000;538;413;433;17;1150;1150
30B;29;6001;6100;557;435;443;18;1172;1172
30B;29;6101;6200;577;456;452;18;1196;1196
30B;29;6201;6300;596;478;461;19;1220;1220
30B;29;6301;6400;616;500;470;20;1242;1242
30B;29;6401;6500;635;522;479;21;1266;1266
30B;29;6501;6600;655;543;480;22;1288;1288
30B;29;6601;6700;674;565;490;23;1312;1312
30B;29;6701;6800;694;587;499;24;1336;1336
30B;29;6801;6900;713;609;508;25;1358;1358
30B;29;6901;7000;733;630;517;26;1382;1382
30B;29;7001;7100;752;652;527;27;1404;1404
30B;29;7101;7200;772;674;527;27;1428;1428
30B;29;7201;7300;791;696;537;28;1452;1452
30B;29;7301;7400;811;717;546;29;1474;1474
30B;29;7401;7500;831;739;555;30;1498;1498
30B;29;7501;7600;850;761;564;31;1520;1520
30B;29;7601;7700;870;783;574;32;1544;1544
